name,genres,year,country,producer,imdb_rating,link
Участь Салема,"фильм ужасов,драма,триллер",2004,США,Микаэль Саломон,6.1,https://ru.wikipedia.org/wiki/%D0%A3%D1%87%D0%B0%D1%81%D1%82%D1%8C_%D0%A1%D0%B0%D0%BB%D0%B5%D0%BC%D0%B0
Сестра оборотня,"фильм ужасов,драма",2004,США,Брэтт Салливан,6.4,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D1%81%D1%82%D1%80%D0%B0_%D0%BE%D0%B1%D0%BE%D1%80%D0%BE%D1%82%D0%BD%D1%8F
Тайное окно,триллер,2004,США,Дэвид Кепп,6.5,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%B9%D0%BD%D0%BE%D0%B5_%D0%BE%D0%BA%D0%BD%D0%BE
Страх,"фильм ужасов,кинокомедия",2004,США,Рольф Канефски,5.4,"https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D1%80%D0%B0%D1%85_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2004)"
Рождение оборотня,"фильм ужасов,драма",2004,США,Грант Харви,5.8,https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BE%D0%B1%D0%BE%D1%80%D0%BE%D1%82%D0%BD%D1%8F
Проклятые,"фильм ужасов,триллер,драма",2004,Великобритания,Саймон Феллоуз,4.2,"https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D0%BA%D0%BB%D1%8F%D1%82%D1%8B%D0%B5_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2004)"
Рассвет мертвецов,"фильм ужасов,триллер,боевик,фантастика,драма",2004,США,Зак Снайдер,7.3,"https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D1%81%D0%B2%D0%B5%D1%82_%D0%BC%D0%B5%D1%80%D1%82%D0%B2%D0%B5%D1%86%D0%BE%D0%B2_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2004)"
Приманки,"фильм ужасов,, ,комедия",2004,Канада,Мэттью Хатингс,4.6,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%BC%D0%B0%D0%BD%D0%BA%D0%B8
Полигон 2,"Комедия,, ,Пародия,, ,Ужасы",2004,Россия,Павел Фоминенко,8.2,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D0%B8%D0%B3%D0%BE%D0%BD_2
Потомство Чаки,"слэшер,, ,чёрная комедия,, ,комедия ужасов",2004,США,Дон Манчини,4.9,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D1%82%D0%BE%D0%BC%D1%81%D1%82%D0%B2%D0%BE_%D0%A7%D0%B0%D0%BA%D0%B8
